| kind | epoch | fold | iteration | loss |
| train | 0 | 1 | 4999 | 2.0940672498226167 | 
| train | 0 | 1 | 5099 | 2.0941388270901697 | 
| train | 0 | 1 | 5199 | 2.095615543493858 | 
| train | 0 | 1 | 5299 | 2.0959070890579583 | 
| train | 0 | 1 | 5399 | 2.096392520092152 | 
| train | 0 | 1 | 5499 | 2.096376842217012 | 
| train | 0 | 1 | 5599 | 2.097298330409186 | 
| train | 0 | 1 | 5699 | 2.0981710591859986 | 
| train | 0 | 1 | 5799 | 2.0983327931371227 | 
| train | 0 | 1 | 5899 | 2.098340605073056 | 
| train | 0 | 1 | 5999 | 2.098848055541515 | 
| train | 0 | 1 | --- | 2.0986966282462025 | 
| val | 0 | 1 | --- | 2.0256152153015137 | 
| train | 0 | 2 | 99 | 2.1673379373550414 | 
| train | 0 | 2 | 199 | 2.1399557584524156 | 
| train | 0 | 2 | 299 | 2.135509041150411 | 
| train | 0 | 2 | 399 | 2.13112782895565 | 
| train | 0 | 2 | 499 | 2.136470362186432 | 
| train | 0 | 2 | 599 | 2.131012157003085 | 
| train | 0 | 2 | 699 | 2.1256305978979384 | 
| train | 0 | 2 | 799 | 2.1190281283855437 | 
| train | 0 | 2 | 899 | 2.122463651365704 | 
| train | 0 | 2 | 999 | 2.124873673319817 | 
| train | 0 | 2 | 1099 | 2.1196330962397836 | 
| train | 0 | 2 | 1199 | 2.1183580791950227 | 
| train | 0 | 2 | 1299 | 2.1172767491524036 | 
| train | 0 | 2 | 1399 | 2.115587200437273 | 
| train | 0 | 2 | 1499 | 2.1195663193861645 | 
| train | 0 | 2 | 1599 | 2.119858373403549 | 
| train | 0 | 2 | 1699 | 2.1206902172284967 | 
| train | 0 | 2 | 1799 | 2.1216505668560663 | 
| train | 0 | 2 | 1899 | 2.119102509209984 | 
| train | 0 | 2 | 1999 | 2.117844134628773 | 
| train | 0 | 2 | 2099 | 2.1192623553957257 | 
| train | 0 | 2 | 2199 | 2.1197485024820675 | 
| train | 0 | 2 | 2299 | 2.119866329120553 | 
| train | 0 | 2 | 2399 | 2.1196099773049353 | 
| train | 0 | 2 | 2499 | 2.1214257560253142 | 
| train | 0 | 2 | 2599 | 2.1226124988610926 | 
| train | 0 | 2 | 2699 | 2.12291132595804 | 
| train | 0 | 2 | 2799 | 2.122738663213594 | 
| train | 0 | 2 | 2899 | 2.123374392698551 | 
| train | 0 | 2 | 2999 | 2.1221639738877616 | 
