| kind | epoch | fold | iteration | loss |
|:--:|:--:|:--:|:--:|:--:|
| train | 0 | 0 | 19 | 1.8686358392238618 | 
| train | 0 | 0 | 39 | 1.8605502933263778 | 
| train | 0 | 0 | 59 | 1.8733014245827992 | 
| train | 0 | 0 | 79 | 1.8695780456066131 | 
| train | 0 | 0 | 99 | 1.8639861202239991 | 
| train | 0 | 0 | 119 | 1.8656760017077128 | 
| train | 0 | 0 | 139 | 1.8656583419867925 | 
| train | 0 | 0 | 159 | 1.8567714817821979 | 
| train | 0 | 0 | 179 | 1.8513737791114384 | 
| train | 0 | 0 | 199 | 1.8467046123743058 | 
| train | 0 | 0 | 219 | 1.847324391928586 | 
| train | 0 | 0 | 239 | 1.8514059051871299 | 
| train | 0 | 0 | 259 | 1.8504706809153924 | 
| train | 0 | 0 | 279 | 1.846495804616383 | 
| train | 0 | 0 | 299 | 1.8445050899187725 | 
| train | 0 | 0 | 319 | 1.8432769510895013 | 
| train | 0 | 0 | 339 | 1.8395649198223563 | 
| train | 0 | 0 | 359 | 1.8390461812416712 | 
| train | 0 | 0 | 379 | 1.8396619944195998 | 
| train | 0 | 0 | 399 | 1.8402775076031685 | 
| train | 0 | 0 | 419 | 1.839661248241152 | 
| train | 0 | 0 | 439 | 1.8388851894573732 | 
| train | 0 | 0 | 459 | 1.838873281945353 | 
| train | 0 | 0 | 479 | 1.8363934129476547 | 
| train | 0 | 0 | 499 | 1.8349235332012177 | 
| train | 0 | 0 | 519 | 1.8337308913469315 | 
| train | 0 | 0 | 539 | 1.835046625799603 | 
| train | 0 | 0 | 559 | 1.8343115649053028 | 
| train | 0 | 0 | 579 | 1.8337772798949274 | 
| train | 0 | 0 | 599 | 1.8336216388146083 | 
| train | 0 | 0 | 619 | 1.8347777647356833 | 
| train | 0 | 0 | 639 | 1.8361642261967064 | 
| train | 0 | 0 | 659 | 1.8361460826613687 | 
| train | 0 | 0 | 679 | 1.8374448839355917 | 
| train | 0 | 0 | 699 | 1.8358963452066694 | 
| train | 0 | 0 | 719 | 1.8358296649323569 | 
| train | 0 | 0 | 739 | 1.8352666621272629 | 
| train | 0 | 0 | 759 | 1.8358871019200276 | 
| train | 0 | 0 | 779 | 1.8379991887471614 | 
| train | 0 | 0 | 799 | 1.8387016405165195 | 
| train | 0 | 0 | 819 | 1.8381355457189605 | 
| train | 0 | 0 | 839 | 1.8374314022915703 | 
| train | 0 | 0 | 859 | 1.837118339122728 | 
| train | 0 | 0 | 879 | 1.8375871846621687 | 
| train | 0 | 0 | 899 | 1.8383406718571982 | 
| train | 0 | 0 | 919 | 1.8393380152142567 | 
| train | 0 | 0 | 939 | 1.8389639912767612 | 
| train | 0 | 0 | 959 | 1.8382378410547973 | 
| train | 0 | 0 | 979 | 1.8382882788473247 | 
| train | 0 | 0 | 999 | 1.8384885458946227 | 
| train | 0 | 0 | 1019 | 1.8388781272897534 | 
| train | 0 | 0 | 1039 | 1.8395675536531668 | 
| train | 0 | 0 | 1059 | 1.838909339679862 | 
| train | 0 | 0 | 1079 | 1.8391607335320226 | 
| train | 0 | 0 | 1099 | 1.8388029439882798 | 
| train | 0 | 0 | 1119 | 1.8389558072601047 | 
| train | 0 | 0 | 1139 | 1.8385639870375918 | 
| train | 0 | 0 | 1159 | 1.837646740572206 | 
| train | 0 | 0 | 1179 | 1.8368361179101265 | 
| train | 0 | 0 | 1199 | 1.837280655503273 | 
| train | 0 | 0 | 1219 | 1.8363049658595538 | 
| train | 0 | 0 | 1239 | 1.8360057947135742 | 
| train | 0 | 0 | 1259 | 1.8350754810704126 | 
| train | 0 | 0 | 1279 | 1.8352188198827206 | 
| train | 0 | 0 | 1299 | 1.8355057707199685 | 
| train | 0 | 0 | 1319 | 1.8352514004165477 | 
| train | 0 | 0 | 1339 | 1.8356964957358233 | 
| train | 0 | 0 | 1359 | 1.8359034944106551 | 
| train | 0 | 0 | 1379 | 1.8357496423997741 | 
