| kind | epoch | fold | iteration | loss |
|:--:|:--:|:--:|:--:|:--:|
| train | 0 | 0 | 19 | 1.8714796543121337 | 
| train | 0 | 0 | 39 | 1.8663813084363938 | 
| train | 0 | 0 | 59 | 1.8746007363001504 | 
| train | 0 | 0 | 79 | 1.8687640607357026 | 
| train | 0 | 0 | 99 | 1.8637298941612244 | 
| train | 0 | 0 | 119 | 1.866288991769155 | 
| train | 0 | 0 | 139 | 1.868930960553033 | 
| train | 0 | 0 | 159 | 1.8603627033531667 | 
| train | 0 | 0 | 179 | 1.8543997307618458 | 
| train | 0 | 0 | 199 | 1.851922820210457 | 
| train | 0 | 0 | 219 | 1.8500533147291705 | 
| train | 0 | 0 | 239 | 1.853473241130511 | 
| train | 0 | 0 | 259 | 1.8534436010397397 | 
| train | 0 | 0 | 279 | 1.8488639261041369 | 
| train | 0 | 0 | 299 | 1.8473971152305604 | 
| train | 0 | 0 | 319 | 1.8452674064785242 | 
| train | 0 | 0 | 339 | 1.8411593559910269 | 
| train | 0 | 0 | 359 | 1.8429001950555377 | 
| train | 0 | 0 | 379 | 1.8426360839291622 | 
| train | 0 | 0 | 399 | 1.8417533534765242 | 
| train | 0 | 0 | 419 | 1.84057487873804 | 
| train | 0 | 0 | 439 | 1.8408510116013614 | 
| train | 0 | 0 | 459 | 1.8412374815215236 | 
| train | 0 | 0 | 479 | 1.8402556198338667 | 
| train | 0 | 0 | 499 | 1.8387699215412139 | 
| train | 0 | 0 | 519 | 1.8377448093432647 | 
| train | 0 | 0 | 539 | 1.8389257499465237 | 
| train | 0 | 0 | 559 | 1.8372165756566183 | 
| train | 0 | 0 | 579 | 1.836236784992547 | 
| train | 0 | 0 | 599 | 1.8359460184971492 | 
| train | 0 | 0 | 619 | 1.8370123455601355 | 
| train | 0 | 0 | 639 | 1.8388387087732554 | 
| train | 0 | 0 | 659 | 1.8396898235335495 | 
| train | 0 | 0 | 679 | 1.8409501140608506 | 
| train | 0 | 0 | 699 | 1.8395990019185202 | 
| train | 0 | 0 | 719 | 1.8406877165039381 | 
| train | 0 | 0 | 739 | 1.840352197917732 | 
| train | 0 | 0 | 759 | 1.8405463453970456 | 
| train | 0 | 0 | 779 | 1.8428716404315753 | 
| train | 0 | 0 | 799 | 1.8432721441984177 | 
| train | 0 | 0 | 819 | 1.843195794122975 | 
| train | 0 | 0 | 839 | 1.8418023007256643 | 
| train | 0 | 0 | 859 | 1.8410209289816923 | 
| train | 0 | 0 | 879 | 1.8416807948188347 | 
| train | 0 | 0 | 899 | 1.8424673811594645 | 
| train | 0 | 0 | 919 | 1.8424270409604777 | 
| train | 0 | 0 | 939 | 1.841639172650398 | 
| train | 0 | 0 | 959 | 1.8415712104489406 | 
| train | 0 | 0 | 979 | 1.8415381476587178 | 
| train | 0 | 0 | 999 | 1.8417504556179047 | 
| train | 0 | 0 | 1019 | 1.8423229668654648 | 
| train | 0 | 0 | 1039 | 1.8431401708951363 | 
| train | 0 | 0 | 1059 | 1.8425920566297926 | 
| train | 0 | 0 | 1079 | 1.8420396354463366 | 
| train | 0 | 0 | 1099 | 1.8417434857108377 | 
| train | 0 | 0 | 1119 | 1.8422173032803195 | 
| train | 0 | 0 | 1139 | 1.841839351361258 | 
| train | 0 | 0 | 1159 | 1.8410511234710956 | 
| train | 0 | 0 | 1179 | 1.8403722043764794 | 
| train | 0 | 0 | 1199 | 1.8405993680159252 | 
| train | 0 | 0 | 1219 | 1.8397207782893885 | 
